filename,unit,amino_count,ratio_w_ge10
AF-Q3LI59-F1.csv,A,82,0.3902439024390244
AF-Q9BYH8-F1.csv,A,717,0.401673640167364
AF-Q13021-F1.csv,A,152,0.05263157894736842
AF-Q5TBA9-F2.csv,A,1399,0.1343817012151537
AF-Q5BKY6-F1.csv,A,101,0.2871287128712871
AF-Q969E8-F1.csv,A,190,0.23157894736842105
AF-A0A0A0MS06-F1.csv,A,114,0.18421052631578946
AF-Q4LDE5-F1.csv,A,1399,0.17369549678341673
AF-Q5T011-F3.csv,A,1399,0.24017155110793423
AF-Q9NU22-F4.csv,A,1399,0.07076483202287348
AF-Q6IA86-F1.csv,A,825,0.17333333333333334
AF-Q86YH2-F1.csv,A,542,0.3985239852398524
AF-A0AAG2TUC4-F1.csv,A,101,0.6039603960396039
AF-Q9Y6I4-F1.csv,A,519,0.15414258188824662
AF-Q99707-F1.csv,A,1264,0.27294303797468356
AF-Q13296-F1.csv,A,92,0.03260869565217391
AF-Q9BU02-F1.csv,A,229,0.13973799126637554
AF-Q9Y6R7-F7.csv,A,1399,0.11794138670478914
AF-A0A286YEV6-F1.csv,A,104,0.36538461538461536
AF-Q00973-F1.csv,A,532,0.14097744360902256
AF-Q96T52-F1.csv,A,174,0.12643678160919541
AF-Q6PD74-F1.csv,A,314,0.18789808917197454
AF-Q14802-F1.csv,A,86,0.26744186046511625
AF-P58107-F6.csv,A,1399,0.1401000714796283
AF-A0A2R8Y4L6-F1.csv,A,322,0.06521739130434782
AF-Q9Y2G2-F1.csv,A,536,0.332089552238806
AF-Q13670-F1.csv,A,269,0.2862453531598513
AF-Q14204-F11.csv,A,1399,0.057898498927805575
AF-Q8N954-F1.csv,A,284,0.09859154929577464
AF-A0AAG2TVH3-F1.csv,A,92,0.1956521739130435
AF-Q6P050-F1.csv,A,246,0.3048780487804878
AF-Q7Z5P9-F16.csv,A,1399,0.4353109363831308
AF-Q9HB89-F1.csv,A,425,0.1223529411764706
AF-Q99607-F1.csv,A,662,0.5770392749244713
AF-A0A5A2-F1.csv,A,113,0.168141592920354
AF-F5GYI3-F1.csv,A,380,0.33157894736842103
AF-O00505-F1.csv,A,520,0.08653846153846154
AF-Q8NG83-F1.csv,A,311,0.07717041800643087
AF-Q96MT3-F1.csv,A,830,0.4566265060240964
AF-P42858-F1.csv,A,1399,0.25017869907076484
AF-Q8NDA2-F4.csv,A,1399,0.13795568263045033
AF-O00254-F1.csv,A,373,0.12064343163538874
